FD_Name,State,Region,Member_Status,File_Name,Respondent_ID,Week,Transaction_Nature,Transaction_Type,Transaction_Name,Transaction_Amount,Transaction_Comment,Formatted_Date
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Income,"Government worker.
The husband of the respondent works with the government at the LGA. He is paid 100,000naira monthly.
He is also a farmer",25000,,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Income,"Government worker
The wife of the house hold head works in a government owned skills acquisition center. She is paid 17,480 monthly",4370,,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Income,"Government worker
Second wife of the household head also works at the same skills acquisition center
She is paid 17,480 monthly",4370,,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Income,"Government worker she works at the skills acquisition center too. She is paid 14,536 monthly",3634,,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Income,"Petty trading

The respondent is a niece to the household head, she sells cold drinks from the house. She makes the drinks by herself (hibiscus flower)",800,,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Income,"Government worker
Sister in-law of the household head also works at the skills acquisition center",4000,,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Income,Loan repayment,1000,,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Expenditure,Food stuffs,12600,"Food stuffs like rice, corn flour",2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Expenditure,Soup ingredients,7000,Fresh vegetables and condiments,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Expenditure,toiletries,6000,"Detergents, soap, bathing soap, toothpaste, body lotion.",2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Expenditure,firewood,2000,,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Expenditure,breakfast,3500,"They mostly buy cooked food from outside for breakfast such as pap, moimoi, akara",2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Fixed,Expenditure,Fish/meat,7000,,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Variable,Expenditure,Health care,1000,Medication from the pharmacy,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 1.docx,BL03-NWAG-Ngaski-WK1,1,Variable,Expenditure,books,400,For children in islamiyya,2021-12-10
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 4.docx,BL03-NWAG-Ngaski-WK4,4,Fixed,Income,"Government worker.
The husband of the respondent works with the government at the LGA. He is paid 100,000naira monthly.
He is also a farmer",25000,,2021-12-31
Baseline Financial Diaries_1,kebbi,ngaski,NON WAG,kebbi_Ngaski_wara_Financialdiaries_formerandnonwag_31122021. week 4.docx,BL03-NWAG-Ngaski-WK4,4,Fixed,Income,"Government worker
The wife of the house hold head works in a government owned skills acquisition center. She is paid 17,480 monthly",4370,,2021-12-31
